,industry_code_ANZSIC,industry_name_ANZSIC,variable,value,unit
0,0,2,0,3754,0
1,0,2,3,19,0
2,0,2,4,2657,1
3,0,2,5,5200,1
4,0,2,8,5426,1
5,0,2,7,4999,1
6,0,2,2,5028,1
7,0,2,6,4207,1
8,0,2,1,2963,1
9,0,2,0,2042,0
10,0,2,3,3330,0
11,0,2,4,934,1
12,0,2,5,759,1
13,0,2,8,828,1
14,0,2,7,546,1
15,0,2,2,578,1
16,0,2,6,4052,1
17,0,2,1,2906,1
18,0,2,0,1752,0
19,0,2,3,845,0
20,0,2,4,3778,1
21,0,2,5,2863,1
22,0,2,8,2897,1
23,0,2,7,2745,1
24,0,2,2,2103,1
25,0,2,6,5575,1
26,0,2,1,4161,1
27,0,2,0,365,0
28,0,2,3,1015,0
29,0,2,4,3827,1
30,0,2,5,2285,1
31,0,2,8,2334,1
32,0,2,7,2231,1
33,0,2,2,601,1
34,0,2,6,4617,1
35,0,2,1,3243,1
36,0,2,0,3841,0
37,0,2,3,866,0
38,0,2,4,3485,1
39,0,2,5,1534,1
40,0,2,8,1646,1
41,0,2,7,1488,1
42,0,2,2,5142,1
43,0,2,6,3425,1
44,0,2,1,1338,1
45,0,2,0,290,0
46,0,2,3,4939,0
47,0,2,4,1795,1
48,0,2,5,209,1
49,0,2,8,424,1
50,0,2,7,163,1
51,0,2,2,3389,1
52,0,2,6,1888,1
53,0,2,1,5567,1
54,0,2,0,2583,0
55,0,2,3,3166,0
56,0,2,4,5339,1
57,0,2,5,3095,1
58,0,2,8,3238,1
59,0,2,7,3053,1
60,0,2,2,3284,1
61,0,2,6,5166,1
62,0,2,1,5773,1
63,0,2,0,1037,0
64,0,2,3,4460,0
65,0,2,4,1419,1
66,0,2,5,5540,1
67,0,2,8,105,1
68,0,2,7,5308,1
69,0,2,2,5566,1
70,0,2,6,2452,1
71,0,2,1,5773,1
72,0,2,0,4856,0
73,0,2,3,5720,0
74,0,2,4,3170,1
75,0,2,5,2899,1
76,0,2,8,3008,1
77,0,2,7,2764,1
78,0,2,2,2504,1
79,0,2,6,760,1
80,0,2,1,5014,1
81,1,12,0,3053,0
82,1,12,3,19,0
83,1,12,4,5723,1
84,1,12,5,1952,1
85,1,12,8,2143,1
86,1,12,7,1332,1
87,1,12,2,4548,1
88,1,12,6,480,1
89,1,12,1,3197,1
90,1,12,0,1345,0
91,1,12,3,3211,0
92,1,12,4,3932,1
93,1,12,5,3655,1
94,1,12,8,3757,1
95,1,12,7,3493,1
96,1,12,2,5438,1
97,1,12,6,512,1
98,1,12,1,5030,1
99,1,12,0,1933,0
100,1,12,3,1436,0
101,1,12,4,483,1
102,1,12,5,5773,1
103,1,12,8,4606,1
104,1,12,7,4718,1
105,1,12,2,19,1
106,1,12,6,1362,1
107,1,12,1,3210,1
108,1,12,0,3210,0
109,1,12,3,3880,0
110,1,12,4,2891,1
111,1,12,5,2496,1
112,1,12,8,2534,1
113,1,12,7,2279,1
114,1,12,2,3699,1
115,1,12,6,3301,1
116,1,12,1,1246,1
117,1,12,0,1933,0
118,1,12,3,4843,0
119,1,12,4,4347,1
120,1,12,5,4991,1
121,1,12,8,5375,1
122,1,12,7,3886,1
123,1,12,2,5773,1
124,1,12,6,5773,1
125,1,12,1,5773,1
126,1,12,0,483,0
127,1,12,3,4652,0
128,1,12,4,4398,1
129,1,12,5,456,1
130,1,12,8,775,1
131,1,12,7,5178,1
132,1,12,2,5773,1
133,1,12,6,2529,1
134,1,12,1,5773,1
135,1,12,0,4397,0
136,1,12,3,4610,0
137,1,12,4,3840,1
138,1,12,5,5773,1
139,1,12,8,2594,1
140,1,12,7,3308,1
141,1,12,2,5773,1
142,1,12,6,5773,1
143,1,12,1,5773,1
144,1,12,0,5470,0
145,1,12,3,2709,0
146,1,12,4,2496,1
147,1,12,5,1611,1
148,1,12,8,1709,1
149,1,12,7,1332,1
150,1,12,2,2717,1
151,1,12,6,1932,1
152,1,12,1,149,1
153,1,12,0,4426,0
154,1,12,3,4351,0
155,1,12,4,4494,1
156,1,12,5,4772,1
157,1,12,8,4956,1
158,1,12,7,4286,1
159,1,12,2,1660,1
160,1,12,6,2580,1
161,1,12,1,5423,1
162,2,11,0,5274,0
163,2,11,3,19,0
164,2,11,4,1112,1
165,2,11,5,1787,1
166,2,11,8,1799,1
167,2,11,7,1518,1
168,2,11,2,1847,1
169,2,11,6,2034,1
170,2,11,1,4587,1
171,2,11,0,4771,0
172,2,11,3,1097,0
173,2,11,4,4510,1
174,2,11,5,3259,1
175,2,11,8,3273,1
176,2,11,7,3126,1
177,2,11,2,2301,1
178,2,11,6,2559,1
179,2,11,1,4459,1
180,2,11,0,1632,0
181,2,11,3,813,0
182,2,11,4,4227,1
183,2,11,5,2027,1
184,2,11,8,2050,1
185,2,11,7,1898,1
186,2,11,2,644,1
187,2,11,6,854,1
188,2,11,1,3301,1
189,2,11,0,1645,0
190,2,11,3,2401,0
191,2,11,4,310,1
192,2,11,5,3640,1
193,2,11,8,3659,1
194,2,11,7,3613,1
195,2,11,2,5723,1
196,2,11,6,2728,1
197,2,11,1,4736,1
198,2,11,0,385,0
199,2,11,3,3094,0
200,2,11,4,1303,1
